player_name,uvi_score,sprint_speed,bolts,outs_above_average,fielding_runs_prevented,runner_runs,baserunning_adj,speed_hustle_adj,fielding_adj,complete_uvi
Joey Bart,92.90666666666668,26.6,0.0,0.0,,-1.160445041276715,-11.60445041276715,0,0.0,81.30221625389953
Spencer Horwitz,92.3222222222222,25.5,0.0,1.0,1.0,0.7682425602120834,7.6824256021208335,-5,3.0,98.00464782434302
Tommy Pham,91.55478260869565,27.2,0.0,-2.0,-2.0,-3.1793750044047413,-31.793750044047414,0,-6.0,53.76103256464823
Nick Yorke,91.27727272727272,28.1,0.0,0.0,0.0,0.4305266144081068,4.3052661440810684,0,0.0,95.58253887135379
Andrew McCutchen,91.23703703703704,27.1,0.0,1.0,1.0,-3.1161747632666827,-31.161747632666827,0,3.0,63.07528940437021
Liover Peguero,90.84,29.2,1.0,-1.0,0.0,0.075200492680361,0.75200492680361,3,-3.0,91.59200492680361
Alexander Canario,90.62,28.1,1.0,-2.0,-2.0,-2.2801193719450064,-22.801193719450062,0,-6.0,61.81880628054995
Oneil Cruz,90.50373134328358,29.2,42.0,0.0,0.0,0.9752916940166704,9.752916940166704,8,0.0,108.25664828345028
Jack Suwinski,90.35272727272726,27.9,0.0,-2.0,-2.0,0.3759694659063433,3.759694659063433,0,-6.0,88.11242193179069
Jared Triolo,89.95299999999999,28.8,0.0,6.0,5.0,0.928737548252348,9.28737548252348,3,18.0,120.24037548252346
Enmanuel Valdez,89.78333333333333,26.1,0.0,2.0,2.0,-0.791689144127497,-7.91689144127497,0,6.0,87.86644189205836
Ke'Bryan Hayes,89.6,27.2,0.0,15.0,11.0,0.7247037881636209,7.247037881636209,0,45.0,141.8470378816362
Isiah Kiner-Falefa,89.40588235294118,27.4,0.0,1.0,1.0,0.6411774737740017,6.411774737740017,0,3.0,98.8176570906812
Adam Frazier,88.94358974358975,26.6,0.0,0.0,0.0,-0.8931262172775641,-8.931262172975641,0,0.0,80.01232757081411
Bryan Reynolds,88.70714285714286,28.1,0.0,-2.0,-2.0,1.6974097660907437,16.974097660907436,0,-6.0,99.68124051805029
Endy Rodríguez,88.5,27.1,0.0,-1.0,-1.0,-0.6930469884890064,-6.930469884890064,0,-3.0,78.56953011510994
Nick Gonzales,87.73958333333333,28.9,6.0,4.0,3.0,1.0076501907562452,10.076501907562452,5,12.0,114.81608524089577
Henry Davis,87.19753086419753,28.3,0.0,0.0,,-0.2748834340566331,-2.748834340566331,0,0.0,84.4486965236312
Matt Gorski,84.47142857142856,28.7,0.0,-2.0,-1.0,0.1515815498142463,1.515815498142463,3,-6.0,82.98724406957102
Cam Devanney,82.38461538461539,27.0,0.0,-1.0,0.0,-0.0169470636101801,-0.169470636101801,0,-3.0,79.21514474851358
