player_name,uvi_score
Ji Hwan Bae,88.9
Joey Bart,38.06
Alexander Canario,33.5
Tsung-Che Cheng,97.13
Billy Cook,97.7
Oneil Cruz,-13.0
Henry Davis,4.049999999999997
Cam Devanney,78.65
Rafael Flores Jr.,95.47
Adam Frazier,19.010000000000005
Nick Gonzales,-12.599999999999994
Matt Gorski,79.56
Ke'Bryan Hayes,2.3400000000000034
Spencer Horwitz,23.28
Isiah Kiner-Falefa,-18.570000000000007
Andrew McCutchen,-12.349999999999994
Liover Peguero,74.72
Tommy Pham,9.730000000000004
Bryan Reynolds,-61.20999999999998
Endy Rodríguez,82.35
Ronny Simon,90.5
Nick Solak,95.76
Brett Sullivan,97.1
Jack Suwinski,50.29
Jared Triolo,5.47999999999999
Enmanuel Valdez,70.95
Nick Yorke,81.71000000000001
